year,region,county,town,Akce za zruš.Senátu a proti t.,,ods,ksčm,Str.venkova-spoj.občan.síly,Balbínova poetická strana,Republikáni,Republikáni Miroslava Sládka,Nové hnutí,České sociálně demokrat.hnutí,Humanistická aliance,Cesta změny,Strana zdravého rozumu,Česká strana národně sociální,Česká pravice,Volba pro budoucnost,sz,Strana za životní jistoty,"Koalice KDU-ČSL, US-DEU",Naděje,Národně demokratická strana,Moravská demokratická strana,Občanská demokratická aliance,čssd,Sdružení nezávislých,Demokratická liga,Pravý Blok,Strana demokrat.socialismu,Romská občanská iniciativa ČR,voters,votes_ok,votes_all
2002,Vysočina,Žďár nad Sázavou,Líšná,0,0,4,16,1,,0,0,,,0,0,0,0,0,0,0,0,1,0,0,0,0,22,0,0,0,,,50,44,45
2002,Vysočina,Žďár nad Sázavou,Velká Losenice,2,0,82,63,17,,0,1,,,0,2,1,0,0,5,7,0,163,2,0,0,1,136,23,0,0,,,744,505,510
2002,Vysočina,Žďár nad Sázavou,Lubné,0,0,9,8,0,,0,0,,,0,0,0,0,0,0,0,0,11,0,0,0,0,14,1,0,0,,,45,43,43
2002,Vysočina,Žďár nad Sázavou,Velké Janovice,0,0,3,9,5,,1,0,,,0,0,0,0,0,0,0,0,40,0,0,0,0,18,4,0,0,,,92,80,80
2002,Vysočina,Žďár nad Sázavou,Malá Losenice,0,0,21,8,4,,0,0,,,0,2,1,1,0,1,2,3,36,0,0,0,0,42,2,0,0,,,225,123,123
2002,Vysočina,Žďár nad Sázavou,Velké Meziříčí,9,0,998,948,106,,9,28,,,10,12,7,13,1,28,93,56,970,15,2,17,16,1833,174,5,34,,,9060,5384,5397
2002,Vysočina,Žďár nad Sázavou,Martinice,0,0,21,30,13,,0,0,,,0,0,0,0,0,0,1,1,69,0,0,2,0,69,9,0,0,,,304,215,217
2002,Vysočina,Žďár nad Sázavou,Velké Tresné,0,0,11,11,3,,0,0,,,0,0,0,0,0,0,0,0,7,0,0,0,0,29,9,0,0,,,111,70,70
2002,Vysočina,Žďár nad Sázavou,Matějov,0,0,19,9,3,,0,0,,,0,0,0,0,0,0,0,1,24,1,0,0,0,40,3,0,0,,,149,100,100
2002,Vysočina,Žďár nad Sázavou,Vepřová,1,0,14,30,5,,0,1,,,0,0,0,1,0,0,2,1,76,0,0,0,2,72,15,0,0,,,290,220,220
2002,Vysočina,Žďár nad Sázavou,Měřín,7,0,177,178,17,,0,12,,,2,2,0,0,0,3,22,6,214,3,0,4,2,292,39,2,6,,,1469,988,997
2002,Vysočina,Žďár nad Sázavou,Věstín,0,0,38,5,2,,0,2,,,0,1,1,1,0,2,0,0,8,0,0,0,0,44,4,0,0,,,152,108,108
2002,Vysočina,Žďár nad Sázavou,Milasín,0,0,2,4,2,,0,2,,,0,0,1,0,0,0,0,0,2,0,0,0,0,23,2,0,0,,,42,38,38
2002,Vysočina,Žďár nad Sázavou,Věžná,0,0,3,23,4,,0,0,,,0,0,0,0,0,1,0,0,36,1,0,0,0,56,3,0,0,,,176,127,127
2002,Vysočina,Žďár nad Sázavou,Milešín,0,0,2,9,2,,0,0,,,0,0,0,0,0,0,0,0,16,0,0,0,0,21,0,0,1,,,66,51,51
2002,Vysočina,Žďár nad Sázavou,Vídeň,2,0,20,27,7,,0,0,,,0,0,0,1,0,1,1,0,83,0,0,3,1,46,12,0,0,,,302,204,204
2002,Vysočina,Žďár nad Sázavou,Mirošov,0,0,15,8,4,,0,0,,,0,0,1,0,0,0,0,0,5,0,0,0,0,28,7,0,0,,,107,68,68
2002,Vysočina,Žďár nad Sázavou,Vidonín,0,0,7,16,2,,0,0,,,2,0,0,1,0,0,0,0,23,0,0,0,0,36,3,0,0,,,131,90,90
2002,Vysočina,Žďár nad Sázavou,Moravec,4,0,31,33,18,,1,0,,,1,0,0,0,0,0,0,1,121,0,0,0,0,75,11,0,0,,,466,296,296
